,location,city,state
668,"Vienna, VA",Vienna, VA
669,"Virgilina, VA",Virgilina, VA
670,"Virginia Beach, VA",Virginia Beach, VA
671,"Walnut Creek, CA",Walnut Creek, CA
672,"Waltham, MA",Waltham, MA
673,"Warren, MI",Warren, MI
674,"Warren, NJ",Warren, NJ
675,"Warrenville, IL",Warrenville, IL
676,"Washington, DC",Washington, DC
677,"Washington, VA",Washington, VA
678,"Waterloo, AL",Waterloo, AL
679,"Watertown, MA",Watertown, MA
680,"Waukegan, IL",Waukegan, IL
681,"Waukesha, WI",Waukesha, WI
682,"Wausau, WI",Wausau, WI
683,"Wayne, NJ",Wayne, NJ
684,"Wayne, PA",Wayne, PA
685,"Wellesley, MA",Wellesley, MA
686,"West Chester, OH",West Chester, OH
687,"West Chester, PA",West Chester, PA
688,"West Hollywood, CA",West Hollywood, CA
689,"West McLean, VA",West McLean, VA
690,"West Orange, NJ",West Orange, NJ
691,"West Palm Beach, FL",West Palm Beach, FL
692,"West Valley City, UT",West Valley City, UT
693,"Westborough, MA",Westborough, MA
694,"Westerville, OH",Westerville, OH
695,"Westford, MA",Westford, MA
696,"Westminster, CO",Westminster, CO
697,"Weston, FL",Weston, FL
698,"Westport, CT",Westport, CT
699,"Whippany, NJ",Whippany, NJ
700,"White Plains, NY",White Plains, NY
701,"Whitehouse Station, NJ",Whitehouse Station, NJ
702,"Wichita, KS",Wichita, KS
703,"Wilmington, DE",Wilmington, DE
704,"Wilmington, MA",Wilmington, MA
705,"Wilmington, NC",Wilmington, NC
706,"Wilsonville, OR",Wilsonville, OR
707,"Wilton, CT",Wilton, CT
708,"Windsor Locks, CT",Windsor Locks, CT
709,"Windsor, CT",Windsor, CT
710,"Winston Salem, NC",Winston Salem, NC
711,"Woodland Hills, CA",Woodland Hills, CA
712,"Woonsocket, RI",Woonsocket, RI
713,"Worcester, MA",Worcester, MA
714,"York, PA",York, PA
715,"Yorktown Heights, NY",Yorktown Heights, NY
716,"Yulee, FL",Yulee, FL
